User ID,Agency,Year,Credit Score
4001,TransUnion,2021,828
4002,Yellow Banana,2022,536
4003,TransUnion,2024,815
4004,Experian,2022,716
4005,Yellow Banana,2023,394
4006,TransUnion,2023,572
4007,Experian,2024,469
4008,Experian,2024,470
4009,TransUnion,2024,359
4010,Equifax,2020,358
4011,Experian,2023,562
4012,Yellow Banana,2023,608
4013,Equifax,2024,563
4014,Yellow Banana,2022,381
4015,Yellow Banana,2020,803
4016,TransUnion,2024,665
4017,Yellow Banana,2023,608
4018,Yellow Banana,2021,328
4019,Yellow Banana,2024,407
4020,Yellow Banana,2021,581
4021,Equifax,2023,847
4022,Yellow Banana,2024,836
4023,Experian,2023,438
4024,Experian,2023,598
4025,Experian,2024,801
4026,Yellow Banana,2022,362
4027,TransUnion,2021,575
4028,Yellow Banana,2022,325
4029,Equifax,2023,393
4030,Yellow Banana,2023,719
4031,Yellow Banana,2024,354
4032,Experian,2024,687
4033,Yellow Banana,2021,455
4034,TransUnion,2024,724
4035,Yellow Banana,2023,563
4036,Yellow Banana,2022,467
4037,Experian,2021,570
4038,Yellow Banana,2024,789
4039,TransUnion,2023,595
4040,TransUnion,2022,790
4041,Yellow Banana,2020,594
4042,Yellow Banana,2022,608
4043,Equifax,2021,620
4044,TransUnion,2022,619
4045,Yellow Banana,2022,350
4046,Experian,2024,568
4047,Yellow Banana,2024,587
4048,Equifax,2022,701
4049,Equifax,2021,633
4050,Yellow Banana,2023,544
4051,Experian,2022,759
4052,Experian,2020,641
4053,Experian,2021,352
4054,TransUnion,2021,444
4055,Experian,2021,465
4056,Equifax,2024,563
4057,Yellow Banana,2024,667
4058,TransUnion,2021,714
4059,Yellow Banana,2020,792
4060,Yellow Banana,2020,562
4061,Yellow Banana,2024,568
4062,Equifax,2024,691
4063,Equifax,2022,403
4064,Experian,2020,383
4065,TransUnion,2023,512
4066,Yellow Banana,2024,755
4067,TransUnion,2024,630
4068,Experian,2020,627
4069,Equifax,2023,527
4070,TransUnion,2023,627
4071,Equifax,2022,845
4072,Yellow Banana,2020,337
4073,TransUnion,2020,416
