User ID,Agency,Year,Credit Score
1,Experian,2022,475
2,TransUnion,2024,664
3,Yellow Banana,2021,532
4,Equifax,2020,408
5,Yellow Banana,2020,370
6,Experian,2021,400
7,Equifax,2023,692
8,Yellow Banana,2021,388
9,Experian,2024,839
10,TransUnion,2024,515
11,Experian,2024,705
12,Equifax,2022,779
13,Experian,2021,720
14,TransUnion,2022,313
15,Equifax,2020,382
16,Experian,2023,798
17,Experian,2024,615
18,Yellow Banana,2020,462
19,Yellow Banana,2021,647
20,Equifax,2022,502
21,Experian,2022,787
22,TransUnion,2023,762
23,Equifax,2023,584
24,Yellow Banana,2021,308
25,TransUnion,2024,363
26,TransUnion,2023,536
27,TransUnion,2022,548
28,TransUnion,2022,777
29,Yellow Banana,2020,644
30,Yellow Banana,2024,358
31,Equifax,2021,495
32,TransUnion,2023,382
33,Experian,2022,744
34,Yellow Banana,2023,847
35,Equifax,2020,736
36,Equifax,2022,311
37,Experian,2021,424
38,TransUnion,2020,798
39,Experian,2023,410
40,Yellow Banana,2021,319
41,Equifax,2022,368
42,TransUnion,2020,419
43,TransUnion,2022,418
44,Experian,2020,700
45,Experian,2020,343
46,Equifax,2021,795
47,Experian,2020,814
48,Experian,2020,558
49,Yellow Banana,2022,701
50,TransUnion,2022,567
51,TransUnion,2020,444
52,TransUnion,2020,700
53,Equifax,2022,343
54,Yellow Banana,2021,749
55,Equifax,2024,587
56,Yellow Banana,2023,527
57,Experian,2022,527
58,Equifax,2022,743
59,Experian,2022,563
60,Experian,2022,372
61,TransUnion,2022,313
62,Experian,2022,625
63,Yellow Banana,2023,345
64,Experian,2024,301
65,Yellow Banana,2020,373
66,Yellow Banana,2024,839
67,Yellow Banana,2022,451
68,TransUnion,2021,782
69,Experian,2023,667
70,Yellow Banana,2022,591
71,TransUnion,2021,656
72,Yellow Banana,2021,819
73,Yellow Banana,2020,759
74,Equifax,2023,721
75,Yellow Banana,2022,578
76,Equifax,2023,699
77,Yellow Banana,2020,437
78,Equifax,2023,321
79,TransUnion,2021,336
80,Yellow Banana,2020,803
81,Experian,2023,438
82,Yellow Banana,2024,773
83,Yellow Banana,2021,342
84,TransUnion,2024,662
85,TransUnion,2023,455
86,TransUnion,2024,682
87,Equifax,2024,310
88,Experian,2022,740
89,TransUnion,2021,440
90,Equifax,2023,645
91,Yellow Banana,2021,326
92,TransUnion,2022,569
93,Experian,2020,519
94,Yellow Banana,2022,394
95,TransUnion,2020,808
96,Equifax,2020,461
97,Experian,2024,312
98,Equifax,2020,455
99,Equifax,2024,455
100,Yellow Banana,2024,833
101,Experian,2024,826
102,Yellow Banana,2022,554
103,TransUnion,2021,311
104,Experian,2020,843
105,Equifax,2024,697
106,TransUnion,2020,331
107,Equifax,2022,688
108,Yellow Banana,2022,669
109,TransUnion,2021,335
110,Experian,2024,801
111,Experian,2020,499
112,Yellow Banana,2020,479
113,Yellow Banana,2021,539
114,Experian,2021,720
115,Experian,2022,352
116,Experian,2024,698
117,TransUnion,2020,507
118,Equifax,2020,762
119,Equifax,2020,742
120,Experian,2021,423
121,Experian,2020,583
122,Yellow Banana,2021,531
123,TransUnion,2021,687
124,Equifax,2022,664
125,Experian,2023,333
126,Experian,2023,533
127,Yellow Banana,2023,526
128,Yellow Banana,2023,638
129,Experian,2020,653
130,Yellow Banana,2022,716
131,TransUnion,2022,408
132,Equifax,2020,338
133,TransUnion,2022,848
134,TransUnion,2024,402
135,TransUnion,2024,783
136,Equifax,2024,402
137,Equifax,2021,499
138,Equifax,2022,468
139,Equifax,2020,787
140,Yellow Banana,2022,849
141,Equifax,2024,803
142,Yellow Banana,2024,323
143,TransUnion,2021,337
144,Experian,2020,719
145,Equifax,2023,543
146,TransUnion,2024,609
147,TransUnion,2024,680
148,Equifax,2022,314
149,Experian,2020,634
150,Experian,2020,697
151,TransUnion,2022,467
152,Yellow Banana,2021,475
153,Experian,2023,402
154,Yellow Banana,2021,590
155,TransUnion,2024,696
156,Yellow Banana,2022,312
157,TransUnion,2023,581
158,Experian,2023,720
159,TransUnion,2023,414
160,Experian,2024,334
161,Experian,2020,687
162,Equifax,2023,819
163,Yellow Banana,2021,680
164,Yellow Banana,2020,481
165,Experian,2020,805
