User ID,Agency,Year,Credit Score
12001,Experian,2024,365
12002,Equifax,2022,563
12003,TransUnion,2024,692
12004,Equifax,2020,733
12005,Yellow Banana,2022,731
12006,TransUnion,2022,603
12007,TransUnion,2022,820
12008,Equifax,2024,833
12009,Yellow Banana,2024,652
12010,Experian,2021,306
12011,Equifax,2021,572
12012,Yellow Banana,2020,550
12013,Yellow Banana,2022,446
12014,Experian,2023,653
12015,Equifax,2022,721
12016,Equifax,2023,679
12017,Experian,2023,558
12018,Experian,2022,681
12019,TransUnion,2020,323
12020,Experian,2024,663
12021,Yellow Banana,2022,346
12022,Equifax,2024,322
12023,Equifax,2020,842
12024,Experian,2020,742
12025,Equifax,2020,325
12026,Experian,2021,722
12027,Experian,2020,499
12028,Equifax,2023,801
12029,Yellow Banana,2022,373
12030,TransUnion,2020,362
12031,TransUnion,2021,629
12032,Yellow Banana,2024,543
12033,Yellow Banana,2020,420
12034,Yellow Banana,2023,740
12035,Yellow Banana,2024,442
12036,TransUnion,2022,699
12037,Yellow Banana,2021,606
12038,Yellow Banana,2022,816
12039,TransUnion,2024,787
12040,Experian,2024,428
12041,Yellow Banana,2022,561
12042,Yellow Banana,2022,524
12043,Experian,2023,496
12044,Experian,2023,391
12045,TransUnion,2020,765
12046,Equifax,2021,632
12047,TransUnion,2021,611
12048,Equifax,2022,437
12049,Experian,2024,612
12050,Yellow Banana,2022,460
12051,TransUnion,2021,578
12052,Experian,2022,350
12053,Equifax,2020,309
12054,TransUnion,2023,379
12055,TransUnion,2024,440
12056,Equifax,2021,590
12057,TransUnion,2023,646
12058,TransUnion,2022,427
12059,TransUnion,2024,419
12060,TransUnion,2020,312
12061,Experian,2021,724
12062,TransUnion,2024,680
12063,Yellow Banana,2021,330
12064,TransUnion,2023,745
12065,TransUnion,2020,649
12066,Experian,2023,475
12067,TransUnion,2023,549
12068,Yellow Banana,2023,709
12069,Yellow Banana,2023,813
12070,Equifax,2022,497
12071,Equifax,2024,621
12072,TransUnion,2023,694
12073,TransUnion,2023,665
12074,Yellow Banana,2020,685
12075,Equifax,2022,426
12076,Equifax,2022,846
12077,Equifax,2024,434
12078,TransUnion,2020,437
12079,Yellow Banana,2022,415
12080,TransUnion,2023,765
12081,Experian,2022,695
12082,Equifax,2023,478
12083,TransUnion,2023,668
12084,Experian,2020,332
12085,Yellow Banana,2021,423
12086,Yellow Banana,2024,721
12087,TransUnion,2024,388
12088,TransUnion,2021,384
12089,Experian,2021,804
12090,Experian,2023,466
12091,Equifax,2021,841
12092,TransUnion,2020,604
12093,Yellow Banana,2022,789
12094,Equifax,2022,662
12095,Experian,2021,604
12096,TransUnion,2022,507
12097,Yellow Banana,2022,368
12098,Yellow Banana,2020,474
12099,Experian,2024,645
12100,Experian,2022,342
12101,Equifax,2023,743
12102,Yellow Banana,2022,587
12103,TransUnion,2020,821
12104,Equifax,2021,503
12105,Experian,2022,423
12106,Experian,2020,472
12107,TransUnion,2022,749
12108,Yellow Banana,2021,773
12109,Yellow Banana,2020,845
12110,Experian,2023,354
12111,Equifax,2024,389
12112,Equifax,2022,364
12113,TransUnion,2022,783
